"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000092521",1.45044501499124,2.31352674841481,26.0954412137208,3.24950336408869e-07,5.63077455905899e-05
"ENSDARG00000099306",-0.711517894004436,6.45001889927481,25.8026919056633,3.78160684819717e-07,6.5175790716482e-05
"ENSDARG00000117231",-1.31041338332448,0.228633060233967,25.7815139545197,3.82332920541746e-07,6.55424942984318e-05
"ENSDARG00000096363",3.12418229632224,-1.15327739758657,25.7154866803503,3.95639395024039e-07,6.74628302462e-05
"ENSDARG00000007737",0.648437751276936,5.64477013242348,25.563698374294,4.28016564140705e-07,7.25974973368178e-05
"ENSDARG00000041797",0.519773662859281,5.39292807657845,25.4231154984521,4.60368658618875e-07,7.76738846807645e-05
"ENSDARG00000031336",0.585676618059933,4.80913115376993,25.0993455024135,5.44513363553375e-07,9.13898685624636e-05
"ENSDARG00000040277",1.46059884760766,4.12876510943112,24.9276147598187,5.95236671804221e-07,9.93828228543121e-05
"ENSDARG00000077982",1.24595811308876,5.17253470839693,24.8939429562615,6.05724400844749e-07,0.000100609881439793
"ENSDARG00000035719",0.84427241847841,2.96587398917841,24.800152373823,6.35924421978464e-07,0.000105081593790534
"ENSDARG00000089094",-1.07090248683052,1.25562369302176,24.7702748754736,6.45858363351221e-07,0.00010617580284077
"ENSDARG00000007080",1.22234789747602,5.64440648762704,24.4546072871931,7.60813553344214e-07,0.00012443571469161
"ENSDARG00000100265",0.812639166086804,4.05812221329398,24.4029534114424,7.81487955198837e-07,0.000127168321724919
"ENSDARG00000031702",0.606716507399795,5.24740298380885,24.3905962331757,7.86516838747502e-07,0.000127340254039034
"ENSDARG00000023176",0.605771846893054,4.5943519058373,24.355687191698,8.0089945027273e-07,0.000129017254660266
"ENSDARG00000091996",-0.896232253488294,6.1077716032151,24.009850745497,9.58440847062931e-07,0.000153623691171482
"ENSDARG00000076182",1.43226442108881,0.841412990002309,23.8479864414025,1.04250871031151e-06,0.000166267172768439
"ENSDARG00000090344",4.88699785433796,-1.83592672465728,23.6943545359232,1.12913275033365e-06,0.000179191131571514
"ENSDARG00000092714",2.56710141951259,-0.708508452499741,23.5852590658,1.19499471543524e-06,0.000188709091589692
"ENSDARG00000070710",1.66386034076184,1.40584957252595,23.5421029826081,1.22209983859274e-06,0.000192043404538076
